일자,국내발생(명),해외유입(명)
2020-01-20,-,1 
2020-01-21,-,-
2020-01-22,-,-
2020-01-23,-,-
2020-01-24,-,1 
2020-01-25,-,-
2020-01-26,-,1 
2020-01-27,-,1 
2020-01-28,-,-
2020-01-29,-,-
2020-01-30,1 ,2 
2020-01-31,3 ,1 
2020-02-01,-,1 
2020-02-02,1 ,2 
2020-02-03,-,-
2020-02-04,-,1 
2020-02-05,3 ,2 
2020-02-06,1 ,2 
2020-02-07,-,-
2020-02-08,-,-
2020-02-09,1 ,2 
2020-02-10,1 ,-
2020-02-11,-,-
2020-02-12,-,-
2020-02-13,-,-
2020-02-14,-,-
2020-02-15,-,-
2020-02-16,2 ,-
2020-02-17,-,-
2020-02-18,2 ,-
2020-02-19,34 ,-
2020-02-20,16 ,-
2020-02-21,74 ,-
2020-02-22,190 ,-
2020-02-23,209 ,1 
2020-02-24,206 ,1 
2020-02-25,129 ,1 
2020-02-26,252 ,1 
2020-02-27,447 ,2 
2020-02-28,427 ,-
2020-02-29,909 ,-
2020-03-01,593 ,2 
2020-03-02,684 ,2 
2020-03-03,599 ,1 
2020-03-04,516 ,-
2020-03-05,437 ,1 
2020-03-06,518 ,-
2020-03-07,483 ,-
2020-03-08,366 ,1 
2020-03-09,247 ,1 
2020-03-10,131 ,-
2020-03-11,239 ,3 
2020-03-12,112 ,2 
2020-03-13,107 ,3 
2020-03-14,102 ,5 
2020-03-15,72 ,4 
2020-03-16,70 ,4 
2020-03-17,79 ,5 
2020-03-18,80 ,13 
2020-03-19,135 ,17 
2020-03-20,73 ,14 
2020-03-21,126 ,21 
2020-03-22,77 ,21 
2020-03-23,46 ,18 
2020-03-24,46 ,30 
2020-03-25,42 ,58 
2020-03-26,56 ,48 
2020-03-27,57 ,34 
2020-03-28,90 ,56 
2020-03-29,38 ,67 
2020-03-30,35 ,43 
2020-03-31,88 ,37 
2020-04-01,56 ,45 
2020-04-02,43 ,46 
2020-04-03,37 ,49 
2020-04-04,53 ,41 
2020-04-05,31 ,50 
2020-04-06,25 ,22 
2020-04-07,23 ,24 
2020-04-08,23 ,30 
2020-04-09,13 ,26 
2020-04-10,17 ,10 
2020-04-11,16 ,14 
2020-04-12,9 ,23 
2020-04-13,10 ,15 
2020-04-14,11 ,16 
2020-04-15,13 ,14 
2020-04-16,11 ,11 
2020-04-17,7 ,15 
2020-04-18,9 ,9 
2020-04-19,2 ,6 
2020-04-20,6 ,7 
2020-04-21,4 ,5 
2020-04-22,5 ,6 
2020-04-23,4 ,4 
2020-04-24,4 ,2 
2020-04-25,5 ,5 
2020-04-26,1 ,9 
2020-04-27,3 ,7 
2020-04-28,2 ,12 
2020-04-29,4 ,5 
2020-04-30,-,4 
2020-05-01,1 ,8 
2020-05-02,-,6 
2020-05-03,3 ,10 
2020-05-04,-,8 
2020-05-05,-,3 
2020-05-06,-,2 
2020-05-07,1 ,3 
2020-05-08,1 ,11 
2020-05-09,17 ,1 
2020-05-10,26 ,8 
2020-05-11,29 ,6 
2020-05-12,22 ,5 
2020-05-13,22 ,4 
2020-05-14,26 ,3 
2020-05-15,22 ,5 
2020-05-16,9 ,10 
2020-05-17,6 ,7 
2020-05-18,5 ,10 
2020-05-19,9 ,4 
2020-05-20,24 ,8 
2020-05-21,10 ,2 
2020-05-22,11 ,9 
2020-05-23,19 ,4 
2020-05-24,17 ,8 
2020-05-25,13 ,3 
2020-05-26,16 ,3 
2020-05-27,37 ,3 
2020-05-28,68 ,11 
2020-05-29,55 ,3 
2020-05-30,27 ,12 
2020-05-31,15 ,12 
2020-06-01,30 ,5 
2020-06-02,36 ,2 
2020-06-03,46 ,3 
2020-06-04,33 ,6 
2020-06-05,34 ,5 
2020-06-06,43 ,8 
2020-06-07,53 ,4 
2020-06-08,32 ,5 
2020-06-09,35 ,3 
2020-06-10,43 ,7 
2020-06-11,40 ,5 
2020-06-12,43 ,13 
2020-06-13,43 ,5 
2020-06-14,31 ,3 
2020-06-15,24 ,13 
2020-06-16,21 ,13 
2020-06-17,31 ,12 
2020-06-18,51 ,8 
2020-06-19,32 ,17 
2020-06-20,36 ,31 
2020-06-21,40 ,8 
2020-06-22,11 ,6 
2020-06-23,16 ,30 
2020-06-24,30 ,21 
2020-06-25,23 ,5 
2020-06-26,26 ,13 
2020-06-27,31 ,20 
2020-06-28,40 ,22 
2020-06-29,30 ,12 
2020-06-30,22 ,20 
2020-07-01,36 ,15 
2020-07-02,44 ,10 
2020-07-03,49 ,12 
2020-07-04,36 ,27 
2020-07-05,43 ,18 
2020-07-06,24 ,24 
2020-07-07,20 ,24 
2020-07-08,30 ,32 
2020-07-09,28 ,22 
2020-07-10,23 ,22 
2020-07-11,20 ,15 
2020-07-12,21 ,23 
2020-07-13,19 ,43 
2020-07-14,14 ,19 
2020-07-15,11 ,28 
2020-07-16,14 ,47 
2020-07-17,21 ,39 
2020-07-18,11 ,28 
2020-07-19,21 ,13 
2020-07-20,4 ,22 
2020-07-21,20 ,25 
2020-07-22,29 ,34 
2020-07-23,39 ,20 
2020-07-24,28 ,13 
2020-07-25,27 ,86 
2020-07-26,12 ,46 
2020-07-27,9 ,16 
2020-07-28,5 ,23 
2020-07-29,14 ,34 
2020-07-30,7 ,11 
2020-07-31,14 ,22 
2020-08-01,8 ,23 
2020-08-02,8 ,22 
2020-08-03,3 ,20 
2020-08-04,13 ,21 
2020-08-05,13 ,20 
2020-08-06,23 ,20 
2020-08-07,9 ,11 
2020-08-08,30 ,13 
2020-08-09,30 ,6 
2020-08-10,17 ,11 
2020-08-11,23 ,11 
2020-08-12,35 ,19 
2020-08-13,47 ,9 
2020-08-14,85 ,18 
2020-08-15,154 ,12 
2020-08-16,267 ,12 
2020-08-17,188 ,9 
2020-08-18,235 ,11 
2020-08-19,283 ,14 
2020-08-20,276 ,12 
2020-08-21,315 ,9 
2020-08-22,315 ,17 
2020-08-23,386 ,10 
2020-08-24,258 ,8 
2020-08-25,264 ,16 
2020-08-26,307 ,13 
2020-08-27,434 ,7 
2020-08-28,359 ,12 
2020-08-29,308 ,15 
2020-08-30,283 ,16 
2020-08-31,238 ,10 
2020-09-01,221 ,14 
2020-09-02,253 ,14 
2020-09-03,188 ,7 
2020-09-04,188 ,10 
2020-09-05,158 ,10 
2020-09-06,152 ,15 
2020-09-07,107 ,12 
2020-09-08,120 ,16 
2020-09-09,144 ,12 
2020-09-10,140 ,15 
2020-09-11,161 ,15 
2020-09-12,118 ,18 
2020-09-13,99 ,22 
2020-09-14,98 ,11 
2020-09-15,90 ,16 
2020-09-16,105 ,8 
2020-09-17,145 ,8 
2020-09-18,109 ,17 
2020-09-19,106 ,4 
2020-09-20,72 ,10 
2020-09-21,55 ,15 
2020-09-22,50 ,11 
2020-09-23,99 ,11 
2020-09-24,109 ,16 
2020-09-25,95 ,19 
2020-09-26,49 ,12 
2020-09-27,73 ,22 
2020-09-28,40 ,10 
2020-09-29,23 ,15 
2020-09-30,94 ,19 
2020-10-01,67 ,10 
2020-10-02,53 ,10 
2020-10-03,52 ,23 
2020-10-04,47 ,17 
2020-10-05,64 ,9 
2020-10-06,66 ,9 
2020-10-07,94 ,20 
2020-10-08,60 ,9 
2020-10-09,38 ,16 
2020-10-10,61 ,11 
2020-10-11,46 ,12 
2020-10-12,69 ,29 
2020-10-13,69 ,22 
2020-10-14,53 ,31 
2020-10-15,95 ,15 
2020-10-16,41 ,6 
2020-10-17,62 ,11 
2020-10-18,71 ,20 
2020-10-19,50 ,26 
2020-10-20,41 ,17 
2020-10-21,57 ,32 
2020-10-22,104 ,17 
2020-10-23,138 ,17 
2020-10-24,66 ,11 
2020-10-25,50 ,11 
2020-10-26,94 ,25 
2020-10-27,72 ,16 
2020-10-28,96 ,7 
2020-10-29,107 ,18 
2020-10-30,93 ,20 
2020-10-31,96 ,31 
2020-11-01,101 ,23 
2020-11-02,79 ,18 
2020-11-03,46 ,29 
2020-11-04,98 ,19 
2020-11-05,108 ,17 
2020-11-06,117 ,28 
2020-11-07,72 ,17 
2020-11-08,118 ,25 
2020-11-09,99 ,27 
2020-11-10,71 ,29 
2020-11-11,113 ,32 
2020-11-12,128 ,15 
2020-11-13,162 ,29 
2020-11-14,166 ,39 
2020-11-15,176 ,32 
2020-11-16,192 ,30 
2020-11-17,202 ,28 
2020-11-18,245 ,40 
2020-11-19,293 ,32 
2020-11-20,320 ,28 
2020-11-21,361 ,25 
2020-11-22,302 ,28 
2020-11-23,255 ,16 
2020-11-24,318 ,31 
2020-11-25,363 ,19 
2020-11-26,552 ,29 
2020-11-27,525 ,30 
2020-11-28,486 ,17 
2020-11-29,413 ,37 
2020-11-30,414 ,24 
2020-12-01,420 ,31 
2020-12-02,492 ,19 
2020-12-03,516 ,24 
2020-12-04,600 ,28 
2020-12-05,559 ,18 
2020-12-06,599 ,32 
2020-12-07,580 ,35 
2020-12-08,561 ,26 
2020-12-09,646 ,24 
2020-12-10,642 ,37 
2020-12-11,673 ,16 
2020-12-12,928 ,22 
2020-12-13,"1,000 ",30 
2020-12-14,682 ,36 
2020-12-15,847 ,32 
2020-12-16,"1,054 ",24 
2020-12-17,993 ,20 
2020-12-18,"1,038 ",26 
2020-12-19,"1,024 ",21 
2020-12-20,"1,071 ",25 
2020-12-21,891 ,33 
2020-12-22,821 ,45 
2020-12-23,"1,058 ",32 
2020-12-24,955 ,30 
2020-12-25,"1,215 ",25 
2020-12-26,"1,103 ",28 
2020-12-27,946 ,24 
2020-12-28,786 ,20 
2020-12-29,"1,027 ",16 
2020-12-30,"1,025 ",25 
2020-12-31,940 ,27 
2021-01-01,"1,002 ",25 
2021-01-02,784 ,36 
2021-01-03,641 ,16 
2021-01-04,986 ,34 
2021-01-05,672 ,42 
2021-01-06,807 ,31 
2021-01-07,832 ,37 
2021-01-08,632 ,42 
2021-01-09,596 ,45 
2021-01-10,623 ,34 
2021-01-11,419 ,32 
2021-01-12,510 ,27 
2021-01-13,535 ,26 
2021-01-14,496 ,28 
2021-01-15,483 ,29 
2021-01-16,547 ,33 
2021-01-17,500 ,20 
2021-01-18,366 ,23 
2021-01-19,351 ,35 
2021-01-20,373 ,31 
2021-01-21,381 ,19 
2021-01-22,314 ,32 
2021-01-23,403 ,28 
2021-01-24,369 ,23 
2021-01-25,405 ,32 
2021-01-26,333 ,16 
2021-01-27,516 ,43 
2021-01-28,479 ,18 
2021-01-29,445 ,24 
2021-01-30,421 ,35 
2021-01-31,322 ,31 
2021-02-01,285 ,20 
2021-02-02,295 ,41 
2021-02-03,433 ,34 
2021-02-04,429 ,22 
2021-02-05,350 ,20 
2021-02-06,362 ,28 
2021-02-07,325 ,46 
2021-02-08,264 ,24 
2021-02-09,273 ,30 
2021-02-10,414 ,30 
2021-02-11,467 ,37 
2021-02-12,384 ,19 
2021-02-13,345 ,17 
2021-02-14,304 ,22 
2021-02-15,322 ,21 
2021-02-16,429 ,28 
2021-02-17,590 ,31 
2021-02-18,590 ,31 
2021-02-19,533 ,28 
2021-02-20,415 ,32 
2021-02-21,391 ,25 
2021-02-22,313 ,19 
2021-02-23,329 ,27 
2021-02-24,417 ,23 
2021-02-25,368 ,27 
2021-02-26,363 ,24 
2021-02-27,405 ,10 
2021-02-28,333 ,22 
2021-03-01,338 ,17 
2021-03-02,319 ,25 
2021-03-03,426 ,18 
2021-03-04,401 ,23 
2021-03-05,381 ,17 
2021-03-06,404 ,14 
2021-03-07,398 ,18 
2021-03-08,335 ,11 
2021-03-09,427 ,19 
2021-03-10,452 ,18 
2021-03-11,444 ,21 
2021-03-12,467 ,21 
2021-03-13,474 ,16 
2021-03-14,436 ,23 
2021-03-15,367 ,12 
2021-03-16,345 ,18 
2021-03-17,452 ,17 
2021-03-18,427 ,18 
2021-03-19,441 ,22 
2021-03-20,435 ,12 
2021-03-21,437 ,19 
2021-03-22,396 ,19 
2021-03-23,331 ,15 
2021-03-24,411 ,17 
2021-03-25,419 ,11 
2021-03-26,466 ,23 
2021-03-27,490 ,15 
2021-03-28,461 ,20 
2021-03-29,369 ,13 
2021-03-30,429 ,18 
2021-03-31,491 ,15 
2021-04-01,537 ,14 
2021-04-02,532 ,25 
2021-04-03,520 ,22 
2021-04-04,514 ,29 
2021-04-05,449 ,24 
2021-04-06,459 ,18 
2021-04-07,653 ,15 
2021-04-08,674 ,26 
2021-04-09,644 ,27 
2021-04-10,662 ,15 
2021-04-11,594 ,20 
2021-04-12,560 ,27 
2021-04-13,528 ,14 
2021-04-14,714 ,17 
2021-04-15,670 ,28 
2021-04-16,652 ,21 
2021-04-17,630 ,28 
2021-04-18,648 ,23 
2021-04-19,512 ,20 
2021-04-20,529 ,20 
2021-04-21,692 ,39 
2021-04-22,715 ,20 
2021-04-23,758 ,39 
2021-04-24,759 ,26 
2021-04-25,603 ,41 
2021-04-26,469 ,30 
2021-04-27,477 ,35 
2021-04-28,748 ,21 
2021-04-29,648 ,31 
2021-04-30,642 ,19 
2021-05-01,592 ,34 
2021-05-02,585 ,21 
2021-05-03,464 ,23 
2021-05-04,514 ,27 
2021-05-05,651 ,25 
2021-05-06,562 ,12 
2021-05-07,509 ,16 
2021-05-08,672 ,29 
2021-05-09,522 ,42 
2021-05-10,436 ,27 
2021-05-11,483 ,27 
2021-05-12,612 ,22 
2021-05-13,692 ,23 
2021-05-14,729 ,18 
2021-05-15,661 ,20 
2021-05-16,572 ,38 
2021-05-17,597 ,22 
2021-05-18,506 ,22 
2021-05-19,637 ,17 
2021-05-20,619 ,27 
2021-05-21,542 ,19 
2021-05-22,633 ,33 
2021-05-23,570 ,15 
2021-05-24,505 ,25 
2021-05-25,481 ,35 
2021-05-26,684 ,21 
2021-05-27,620 ,9 
2021-05-28,571 ,16 
2021-05-29,505 ,28 
2021-05-30,464 ,16 
2021-05-31,411 ,19 
2021-06-01,449 ,10 
2021-06-02,654 ,23 
2021-06-03,672 ,9 
2021-06-04,674 ,21 
2021-06-05,725 ,19 
2021-06-06,541 ,15 
2021-06-07,454 ,31 
2021-06-08,435 ,19 
2021-06-09,581 ,21 
2021-06-10,593 ,17 
2021-06-11,541 ,15 
2021-06-12,525 ,40 
2021-06-13,419 ,33 
2021-06-14,360 ,39 
2021-06-15,347 ,26 
2021-06-16,522 ,23 
2021-06-17,523 ,17 
2021-06-18,485 ,22 
2021-06-19,456 ,26 
2021-06-20,380 ,49 
2021-06-21,317 ,40 
2021-06-22,350 ,44 
2021-06-23,605 ,40 
2021-06-24,576 ,34 
2021-06-25,602 ,32 
2021-06-26,611 ,57 
2021-06-27,570 ,44 
2021-06-28,472 ,29 
2021-06-29,560 ,35 
2021-06-30,759 ,35 
2021-07-01,711 ,50 
2021-07-02,765 ,60 
2021-07-03,748 ,46 
2021-07-04,662 ,81 
2021-07-05,644 ,67 
2021-07-06,690 ,56 
2021-07-07,"1,166 ",45 
2021-07-08,"1,227 ",48 
2021-07-09,"1,236 ",80 
2021-07-10,"1,320 ",58 
2021-07-11,"1,280 ",44 
2021-07-12,"1,063 ",37 
2021-07-13,"1,097 ",53 
2021-07-14,"1,566 ",47 
2021-07-15,"1,554 ",45 
2021-07-16,"1,474 ",60 
2021-07-17,"1,400 ",49 
2021-07-18,"1,402 ",51 
2021-07-19,"1,207 ",44 
2021-07-20,"1,242 ",36 
2021-07-21,"1,725 ",56 
2021-07-22,"1,532 ",309 
2021-07-23,"1,573 ",56 
2021-07-24,"1,572 ",55 
2021-07-25,"1,422 ",65 
2021-07-26,"1,264 ",54 
2021-07-27,"1,273 ",89 
2021-07-28,"1,822 ",73 
2021-07-29,"1,631 ",42 
2021-07-30,"1,662 ",48 
2021-07-31,"1,465 ",73 
2021-08-01,"1,386 ",56 
2021-08-02,"1,150 ",68 
2021-08-03,"1,150 ",50 
2021-08-04,"1,664 ",61 
2021-08-05,"1,716 ",59 
2021-08-06,"1,640 ",64 
2021-08-07,"1,762 ",61 
2021-08-08,"1,668 ",59 
2021-08-09,"1,453 ",36 
2021-08-10,"1,474 ",63 
2021-08-11,"2,144 ",77 
2021-08-12,"1,947 ",40 
2021-08-13,"1,913 ",76 
2021-08-14,"1,858 ",70 
2021-08-15,"1,748 ",68 
2021-08-16,"1,491 ",63 
2021-08-17,"1,322 ",50 
2021-08-18,"1,766 ",37 
2021-08-19,"2,114 ",38 
2021-08-20,"1,999 ",50 
2021-08-21,"1,811 ",65 
2021-08-22,"1,588 ",38 
2021-08-23,"1,370 ",47 
2021-08-24,"1,469 ",38 
2021-08-25,"2,113 ",41 
2021-08-26,"1,828 ",53 
2021-08-27,"1,809 ",28 
2021-08-28,"1,736 ",55 
2021-08-29,"1,576 ",43 
2021-08-30,"1,424 ",61 
2021-08-31,"1,331 ",38 
2021-09-01,"1,991 ",33 
2021-09-02,"1,925 ",34 
2021-09-03,"1,674 ",34 
2021-09-04,"1,775 ",28 
2021-09-05,"1,461 ",29 
2021-09-06,"1,351 ",24 
2021-09-07,"1,563 ",34 
2021-09-08,"2,011 ",36 
2021-09-09,"2,018 ",30 
2021-09-10,"1,857 ",35 
2021-09-11,"1,815 ",49 
2021-09-12,"1,725 ",30 
2021-09-13,"1,409 ",24 
2021-09-14,"1,461 ",34 
2021-09-15,"2,054 ",23 
2021-09-16,"1,919 ",22 
2021-09-17,"1,972 ",35 
2021-09-18,"2,047 ",40 
2021-09-19,"1,870 ",39 
2021-09-20,"1,575 ",28 
2021-09-21,"1,697 ",32 
2021-09-22,"1,703 ",17 
2021-09-23,"1,697 ",18 
2021-09-24,"2,411 ",18 
2021-09-25,"3,240 ",28 
2021-09-26,"2,733 ",34 
2021-09-27,"2,353 ",27 
2021-09-28,"2,268 ",19 
2021-09-29,"2,855 ",26 
2021-09-30,"2,535 ",25 
2021-10-01,"2,449 ",34 
2021-10-02,"2,220 ",27 
2021-10-03,"2,056 ",28 
2021-10-04,"1,650 ",20 
2021-10-05,"1,555 ",19 
2021-10-06,"2,001 ",26 
2021-10-07,"2,397 ",27 
2021-10-08,"2,140 ",31 
2021-10-09,"1,923 ",29 
2021-10-10,"1,559 ",34 
2021-10-11,"1,284 ",13 
2021-10-12,"1,333 ",13 
2021-10-13,"1,568 ",13 
2021-10-14,"1,923 ",15 
2021-10-15,"1,669 ",14 
2021-10-16,"1,592 ",24 
2021-10-17,"1,403 ",17 
2021-10-18,"1,030 ",19 
2021-10-19,"1,048 ",25 
2021-10-20,"1,556 ",15 
2021-10-21,"1,430 ",11 
2021-10-22,"1,417 ",20 
2021-10-23,"1,486 ",21 
2021-10-24,"1,393 ",28 
2021-10-25,"1,167 ",23 
2021-10-26,"1,245 ",20 
2021-10-27,"1,931 ",21 
2021-10-28,"2,094 ",16 
2021-10-29,"2,092 ",30 
2021-10-30,"2,087 ",15 
2021-10-31,"2,052 ",9 
2021-11-01,"1,664 ",20 
2021-11-02,"1,577 ",11 
2021-11-03,"2,638 ",27 
2021-11-04,"2,457 ",25 
2021-11-05,"2,322 ",20 
2021-11-06,"2,217 ",29 
2021-11-07,"2,204 ",20 
2021-11-08,"1,731 ",27 
2021-11-09,"1,697 ",17 
2021-11-10,"2,408 ",16 
2021-11-11,"2,493 ",26 
2021-11-12,"2,358 ",10 
2021-11-13,"2,310 ",14 
2021-11-14,"2,399 ",18 
2021-11-15,"1,983 ",20 
2021-11-16,"2,109 ",15 
2021-11-17,"3,160 ",23 
2021-11-18,"3,271 ",20 
2021-11-19,"3,009 ",23 
2021-11-20,"3,186 ",17 
2021-11-21,"3,094 ",24 
2021-11-22,"2,806 ",20 
2021-11-23,"2,682 ",14 
2021-11-24,"4,086 ",28 
2021-11-25,"3,913 ",21 
2021-11-26,"3,876 ",18 
2021-11-27,"4,041 ",23 
2021-11-28,"3,889 ",35 
2021-11-29,"3,284 ",23 
2021-11-30,"3,002 ",29 
2021-12-01,"5,071 ",48 
2021-12-02,"5,237 ",24 
2021-12-03,"4,921 ",21 
2021-12-04,"5,324 ",25 
2021-12-05,"5,100 ",23 
2021-12-06,"4,294 ",29 
2021-12-07,"4,918 ",30 
2021-12-08,"7,139 ",33 
2021-12-09,"7,080 ",20 
2021-12-10,"6,976 ",39 
2021-12-11,"6,944 ",26 
2021-12-12,"6,652 ",28 
2021-12-13,"5,781 ",35 
2021-12-14,"5,522 ",42 
2021-12-15,"7,817 ",23 
2021-12-16,"7,583 ",31 
2021-12-17,"7,395 ",36 
2021-12-18,"7,278 ",29 
2021-12-19,"6,168 ",63 
2021-12-20,"5,253 ",60 
2021-12-21,"5,133 ",58 
2021-12-22,"7,356 ",91 
2021-12-23,"6,849 ",61 
2021-12-24,"6,159 ",70 
2021-12-25,"5,762 ",74 
2021-12-26,"5,333 ",80 
2021-12-27,"4,120 ",83 
2021-12-28,"3,775 ",88 
2021-12-29,"5,276 ",125 
2021-12-30,"4,928 ",104 
2021-12-31,"4,754 ",117 
2022-01-01,"4,306 ",105 
2022-01-02,"3,676 ",149 
2022-01-03,"2,989 ",135 
2022-01-04,"2,886 ",133 
2022-01-05,"4,231 ",210 
2022-01-06,"3,927 ",191 
2022-01-07,"3,521 ",185 
2022-01-08,"3,292 ",210 
2022-01-09,"3,131 ",233 
2022-01-10,"2,765 ",238 
2022-01-11,"2,805 ",282 
2022-01-12,"4,004 ",376 
2022-01-13,"3,773 ",385 
